address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
6047 39TH Ave NE,SEATTLE,WA,98115,1300000,2850.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6047-39TH-Ave-NE-Seattle-WA-98115/49102574_zpid/
147 NE 63RD St,SEATTLE,WA,98115,900000,1200.0,2.0,1.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/147-NE-63RD-St-Seattle-WA-98115/48869150_zpid/
4210 NE 85TH St,SEATTLE,WA,98115,690000,860.0,2.0,1.0,7,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/4210-NE-85TH-St-Seattle-WA-98115/48672178_zpid/
9108 17TH Ave NE,SEATTLE,WA,98115,799888,1840.0,3.0,3.0,12,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9108-17TH-Ave-NE-Seattle-WA-98115/48946468_zpid/
6013 25TH Ave NE,SEATTLE,WA,98115,849900,1470.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6013-25TH-Ave-NE-Seattle-WA-98115/48761893_zpid/
3244 NE 92nd St,Seattle,WA,98115,1399950,2840.0,4.0,3.0,12,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3244-NE-92nd-St-Seattle-WA-98115/2091152408_zpid/
413 NE 70th St UNIT 324,Seattle,WA,98115,522000,742.0,1.0,1.0,20,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/413-NE-70th-St-UNIT-324-Seattle-WA-98115/2091276885_zpid/
8710 38TH Ave NE,SEATTLE,WA,98115,875000,1610.0,4.0,2.0,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8710-38TH-Ave-NE-Seattle-WA-98115/49011060_zpid/
7433C 4th Ave NE,Seattle,WA,98115,899950,1302.0,2.0,2.0,11,New Construction,http://www.zillow.com/homes/for_sale//homedetails/7433C-4th-Ave-NE-Seattle-WA-98115/2091141691_zpid/
1235 NE 88th St # B,Seattle,WA,98115,1095000,2445.0,3.0,3.0,25,New Construction,http://www.zillow.com/homes/for_sale//homedetails/1235-NE-88th-St-B-Seattle-WA-98115/2091357393_zpid/
6246 33RD Ave NE,SEATTLE,WA,98115,2095000,3611.0,5.0,3.5,26,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6246-33RD-Ave-NE-Seattle-WA-98115/48765335_zpid/
7502 Ridge Dr NE,SEATTLE,WA,98115,1699950,3240.0,5.0,3.0,28,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7502-Ridge-Dr-NE-Seattle-WA-98115/49044341_zpid/
7428 E Green Lake Dr N,SEATTLE,WA,98115,1900000,2320.0,5.0,2.0,14,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/7428-E-Green-Lake-Dr-N-Seattle-WA-98115/48833043_zpid/
5844 NE 75th St UNIT A308,Seattle,WA,98115,399000,825.0,2.0,2.0,115,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/5844-NE-75th-St-UNIT-A308-Seattle-WA-98115/2099991043_zpid/
5882 NE Park Point Dr # F402,Seattle,WA,98115,599000,1885.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5882-NE-Park-Point-Dr-F402-Seattle-WA-98115/2092537037_zpid/
9515 Sand Point Way NE,Seattle,WA,98115,949900,3950.0,8.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9515-Sand-Point-Way-NE-Seattle-WA-98115/241739667_zpid/
6258 33rd Ave NE,Seattle,WA,98115,1450000,4010.0,4.0,1.0,70,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6258-33rd-Ave-NE-Seattle-WA-98115/2129110100_zpid/
6550 54TH Ave NE,SEATTLE,WA,98115,2399950,3886.0,5.0,4.0,136,New Construction,http://www.zillow.com/homes/for_sale//homedetails/6550-54TH-Ave-NE-Seattle-WA-98115/49110482_zpid/
9401 Lake City Way NE,Seattle,WA,98115,524000,NA,NA,NA,245,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/9401-Lake-City-Way-NE-Seattle-WA-98115/2112782555_zpid/
6837 43RD Ave NE,SEATTLE,WA,98115,1000000,1950.0,3.0,2.0,112,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/6837-43RD-Ave-NE-Seattle-WA-98115/48668479_zpid/
