address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
7531 SW 64th Pl,Portland,OR,97219,689900,2783.0,4.0,3.0,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7531-SW-64th-Pl-Portland-OR-97219/53833701_zpid/
11536 SW 33rd Ave,Portland,OR,97219,955000,3893.0,4.0,4.0,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11536-SW-33rd-Ave-Portland-OR-97219/54000582_zpid/
10651 SW Lancaster Rd,Portland,OR,97219,423000,1861.0,2.0,2.0,28,Auction,http://www.zillow.com/homes/for_sale//homedetails/10651-SW-Lancaster-Rd-Portland-OR-97219/53857080_zpid/
11511 SW Military Ln,Portland,OR,97219,2450000,7011.0,5.0,5.0,14,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11511-SW-Military-Ln-Portland-OR-97219/53811045_zpid/
5006 SW Pomona St,Portland,OR,97219,925000,3578.0,5.0,4.0,18,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5006-SW-Pomona-St-Portland-OR-97219/80928206_zpid/
11650 SW Military Rd,Portland,OR,97219,2795000,5508.0,5.0,6.0,18,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11650-SW-Military-Rd-Portland-OR-97219/58472546_zpid/
7415 SW 53rd Ave,Portland,OR,97219,390000,785.0,2.0,1.0,28,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/7415-SW-53rd-Ave-Portland-OR-97219/53895906_zpid/
0 SW Nevada St,Portland,OR,97219,169900,4791.0,NA,NA,20,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-SW-Nevada-St-Portland-OR-97219/2106625019_zpid/
01015 SW Palatine Hill Rd,Portland,OR,97219,1595000,4846.0,6.0,6.0,28,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/01015-SW-Palatine-Hill-Rd-Portland-OR-97219/62966138_zpid/
8237 SW 46th Ave,Portland,OR,97219,799900,2749.0,4.0,2.5,17,New Construction,http://www.zillow.com/homes/for_sale//homedetails/8237-SW-46th-Ave-Portland-OR-97219/2091234234_zpid/
